site_code,week_start,search_term,search_frequency_rank,clicked_asin_1,click_share_1,conversion_share_1,clicked_asin_2,click_share_2,conversion_share_2,clicked_asin_3,click_share_3,conversion_share_3
amz_ca,2026-03-15,shower water filter,27343,B088KC1DXY,0.1768,0.0833,,,,,,
amz_ca,2026-03-15,shower filter hard water,29094,B088KC1DXY,0.1935,0.2174,B0CL4SVJQ3,0.1742,0.1304,B01MUBU0YC,0.1226,0.0435
amz_ca,2026-03-15,aquabliss shower filter,31312,B01MUBU0YC,0.3724,0.2353,,,,,,
amz_ca,2026-03-15,showerhead filter,59068,B0CL4SVJQ3,0.2840,0.0000,B088KC1DXY,0.1358,0.0000,,,
amz_ca,2026-03-15,shower filter head,67272,B0CL4SVJQ3,0.2500,0.0909,B088KC1DXY,0.0556,0.0000,B0FNF22JT6,0.0556,0.0000
amz_ca,2026-03-15,shower filter for hard water,91666,B088KC1DXY,0.2778,0.3000,B0CL4SVJQ3,0.1481,0.0000,B01MUBU0YC,0.1111,0.2000
amz_ca,2026-03-15,aqua bliss shower filter,139308,B01MUBU0YC,0.4444,0.0000,,,,,,
amz_ca,2026-03-15,hard water shower head,143476,B0CL4SVJQ3,0.4000,0.2857,B0D1P1XXKD,0.0857,0.0000,B088KC1DXY,0.0571,0.1429
amz_ca,2026-03-15,showerhead filter for hard water,147610,B0CL4SVJQ3,0.2941,0.2500,B088KC1DXY,0.1471,0.2500,B01MUBU0YC,0.0882,0.0000
amz_ca,2026-03-15,shower filters,156978,B088KC1DXY,0.4063,0.3333,,,,,,
amz_ca,2026-03-15,santevia shower filter,201002,B088KC1DXY,0.2400,0.5000,B01MUBU0YC,0.1200,0.0000,,,
amz_ca,2026-03-08,shower filter,766,B088KC1DXY,0.2187,0.1497,B01MUBU0YC,0.1154,0.0401,,,
amz_ca,2026-03-08,shower head filter,3834,B0CL4SVJQ3,0.2050,0.1122,B088KC1DXY,0.1711,0.0816,B01MUBU0YC,0.0906,0.0510
amz_ca,2026-03-08,shower filter for hair loss,7991,B088KC1DXY,0.2205,0.1231,B01MUBU0YC,0.1616,0.0769,,,
amz_ca,2026-03-08,hard water shower filter,14030,B088KC1DXY,0.2118,0.2439,B0CL4SVJQ3,0.1840,0.0488,,,
amz_ca,2026-03-08,shower head filter for hard water,17812,B088KC1DXY,0.1880,0.1714,B0CL4SVJQ3,0.1581,0.0000,B01MUBU0YC,0.0726,0.0000
amz_ca,2026-03-08,shower water filter,25192,B088KC1DXY,0.1792,0.1250,B01MUBU0YC,0.1156,0.0833,,,
amz_ca,2026-03-08,aquabliss shower filter,31369,B01MUBU0YC,0.6056,0.5238,,,,,,
amz_ca,2026-03-08,shower filter hard water,33423,B088KC1DXY,0.2239,0.1481,B01MUBU0YC,0.1194,0.0370,B0CL4SVJQ3,0.1119,0.1852
amz_ca,2026-03-08,showerhead filter,66773,B0CL4SVJQ3,0.3803,0.0000,B01MUBU0YC,0.1549,0.1538,B088KC1DXY,0.1549,0.1538
amz_ca,2026-03-08,shower filter for hard water,67751,B088KC1DXY,0.2429,0.3750,B01MUBU0YC,0.1429,0.1250,B0CL4SVJQ3,0.1000,0.0000
amz_ca,2026-03-08,shower filter head,89581,B0CL4SVJQ3,0.1852,0.1250,B01MUBU0YC,0.1296,0.1250,B088KC1DXY,0.1296,0.1250
amz_ca,2026-03-08,sprite shower filter,101359,B088KC1DXY,0.0833,0.0000,,,,,,
amz_ca,2026-03-08,showerhead filter for hard water,113756,B088KC1DXY,0.2558,0.3333,B0CL4SVJQ3,0.2093,0.0000,,,
amz_ca,2026-03-08,shower filters,119493,B088KC1DXY,0.2683,0.1429,B01MUBU0YC,0.1220,0.1429,,,
amz_ca,2026-03-08,aqua bliss shower filter,169879,B01MUBU0YC,0.6552,0.6000,,,,,,
amz_ca,2026-03-08,water shower filter,182485,B088KC1DXY,0.2593,0.0000,B01MUBU0YC,0.1481,0.0000,,,
amz_ca,2026-03-01,shower filter,704,B088KC1DXY,0.2219,0.1472,B01MUBU0YC,0.1282,0.0431,,,
amz_ca,2026-03-01,shower head filter,4026,B0CL4SVJQ3,0.2095,0.1273,B088KC1DXY,0.1764,0.1636,B0BZ3Y49Q9,0.1074,0.0455
amz_ca,2026-03-01,shower filter for hair loss,7853,B088KC1DXY,0.2379,0.2308,B01MUBU0YC,0.1410,0.0513,,,
amz_ca,2026-03-01,hard water shower filter,13332,B088KC1DXY,0.1939,0.1250,B0CL4SVJQ3,0.1497,0.1250,B01MUBU0YC,0.0884,0.0208
amz_ca,2026-03-01,shower head filter for hard water,18135,B088KC1DXY,0.1911,0.1154,B0CL4SVJQ3,0.1422,0.0000,B01MUBU0YC,0.0667,0.0385
amz_ca,2026-03-01,shower water filter,23312,B088KC1DXY,0.1934,0.1304,B01MUBU0YC,0.1160,0.0000,,,
amz_ca,2026-03-01,aquabliss shower filter,26262,B01MUBU0YC,0.5092,0.3000,B0CN2L49P5,0.0613,0.0000,,,
amz_ca,2026-03-01,shower filter hard water,27424,B088KC1DXY,0.2675,0.2188,B0CL4SVJQ3,0.1146,0.0625,B01MUBU0YC,0.1083,0.0000
amz_ca,2026-03-01,shower filter head,69268,B0CL4SVJQ3,0.2537,0.1111,B0FNF22JT6,0.1194,0.0000,B088KC1DXY,0.0896,0.2222
amz_ca,2026-03-01,showerhead filter,76630,B088KC1DXY,0.1475,0.1111,B0CL4SVJQ3,0.1475,0.1111,B01MUBU0YC,0.1311,0.1111
amz_ca,2026-03-01,sprite shower filter,89082,B088KC1DXY,0.1132,0.0000,,,,,,
amz_ca,2026-03-01,shower filter for hard water,90900,B0CL4SVJQ3,0.2115,0.0000,B088KC1DXY,0.1923,0.0000,B01MUBU0YC,0.1731,0.0000
amz_ca,2026-03-01,aqua bliss shower filter,96697,B01MUBU0YC,0.4694,0.3333,,,,,,
amz_ca,2026-03-01,aquabliss high output revitalizing shower filter,159998,B01MUBU0YC,0.8333,0.6250,,,,,,
amz_ca,2026-03-01,shower filters,165601,B088KC1DXY,0.2069,0.0000,B0CL4SVJQ3,0.1379,0.0000,B0D8RGF49F,0.1379,0.0000
amz_ca,2026-03-01,shower filter for hard water canada,177850,B0D8RGF49F,0.1852,0.1667,B088KC1DXY,0.1481,0.0000,,,
amz_ca,2026-03-01,"aquabliss high output revitalizing shower filter - reduces dry itchy skin, dandruff, eczema, and dra",184602,B01MUBU0YC,0.6154,0.6667,,,,,,
amz_ca,2026-03-01,weaqua shower filter,191651,B0D8RGF49F,0.3200,0.0000,B01MUBU0YC,0.0400,0.0000,,,
amz_ca,2026-02-22,shower filter,804,B088KC1DXY,0.2345,0.1717,,,,,,
amz_ca,2026-02-22,shower head filter,3198,B0CL4SVJQ3,0.2234,0.0991,B088KC1DXY,0.1959,0.1441,B0BZ3Y49Q9,0.0836,0.0541
amz_ca,2026-02-22,shower filter for hair loss,7541,B088KC1DXY,0.2985,0.2432,B01MUBU0YC,0.0806,0.0135,,,
amz_ca,2026-02-22,hard water shower filter,12623,B088KC1DXY,0.2483,0.1923,B0CL4SVJQ3,0.1788,0.0962,,,
amz_ca,2026-02-22,shower head filter for hard water,17964,B088KC1DXY,0.1794,0.0556,B0CL4SVJQ3,0.1570,0.0833,,,
amz_ca,2026-02-22,shower water filter,20429,B088KC1DXY,0.1650,0.0833,B01MUBU0YC,0.1150,0.0417,,,
amz_ca,2026-02-22,aquabliss shower filter,23739,B01MUBU0YC,0.3371,0.3333,,,,,,
amz_ca,2026-02-22,shower filter hard water,23739,B088KC1DXY,0.3086,0.3846,B0CL4SVJQ3,0.1086,0.0000,B01MUBU0YC,0.0629,0.0000
amz_ca,2026-02-22,showerhead filter,57935,B0CL4SVJQ3,0.2692,0.0000,B088KC1DXY,0.1923,0.2500,B01MUBU0YC,0.0641,0.0000
amz_ca,2026-02-22,shower filter for hard water,57935,B088KC1DXY,0.2436,0.3000,B01MUBU0YC,0.1026,0.0000,,,
amz_ca,2026-02-22,shower filter head,66242,B0CL4SVJQ3,0.2609,0.2000,B088KC1DXY,0.0870,0.1000,,,
amz_ca,2026-02-22,aqua bliss shower filter,99772,B01MUBU0YC,0.2340,0.0000,,,,,,
amz_ca,2026-02-22,shower filters,135079,B088KC1DXY,0.2286,0.0000,B0CL4SVJQ3,0.1429,0.0000,B0G2LQVYXJ,0.1143,0.0000
amz_ca,2026-02-22,hard water shower head,148051,B0CL4SVJQ3,0.1875,0.2000,B088KC1DXY,0.0938,0.4000,B0G2LQVYXJ,0.0938,0.2000
amz_ca,2026-02-22,showerhead filter for hard water,163443,B088KC1DXY,0.2069,0.4286,B0CL4SVJQ3,0.1724,0.0000,,,
amz_ca,2026-02-15,shower filter,595,B088KC1DXY,0.2248,0.1508,B01MUBU0YC,0.1043,0.0427,,,
amz_ca,2026-02-15,shower head filter,3345,B0CL4SVJQ3,0.1909,0.0932,B088KC1DXY,0.1838,0.1186,B0BZ3Y49Q9,0.0967,0.0508
amz_ca,2026-02-15,shower filter for hair loss,5962,B088KC1DXY,0.2560,0.1481,B01MUBU0YC,0.1123,0.0617,,,
amz_ca,2026-02-15,hard water shower filter,12554,B088KC1DXY,0.2685,0.2326,B0CL4SVJQ3,0.1309,0.0233,B01MUBU0YC,0.1174,0.0233
amz_ca,2026-02-15,shower head filter for hard water,19920,B0CL4SVJQ3,0.1642,0.0690,B088KC1DXY,0.1343,0.0690,B01MUBU0YC,0.1144,0.0345
amz_ca,2026-02-15,shower water filter,21846,B088KC1DXY,0.0973,0.0370,,,,,,
amz_ca,2026-02-15,aquabliss shower filter,26937,B01MUBU0YC,0.4740,0.4000,,,,,,
amz_ca,2026-02-15,shower filter hard water,31710,B088KC1DXY,0.2932,0.1905,B01MUBU0YC,0.0977,0.0476,,,
amz_ca,2026-02-15,showerhead filter,53223,B088KC1DXY,0.1687,0.1111,B0CL4SVJQ3,0.1687,0.0000,B01MUBU0YC,0.1084,0.0000
amz_ca,2026-02-15,shower filter head,67153,B088KC1DXY,0.1791,0.2857,B0CL4SVJQ3,0.1791,0.1429,B0FMRSGP5Z,0.0896,0.0000
amz_ca,2026-02-15,philips shower filter,84784,B01MUBU0YC,0.0370,0.0000,,,,,,
amz_ca,2026-02-15,shower filter for hard water,84784,B088KC1DXY,0.2407,0.0000,B01MUBU0YC,0.1481,0.2500,B0CL4SVJQ3,0.1481,0.0000
amz_ca,2026-02-15,aqua bliss shower filter,115872,B01MUBU0YC,0.5000,0.0000,,,,,,
amz_ca,2026-02-15,cobbe shower filter,136554,B0BZ3Y49Q9,0.0882,0.0000,,,,,,
amz_ca,2026-02-15,water shower filter,140710,B088KC1DXY,0.3636,0.2000,B01MUBU0YC,0.1212,0.0000,,,
amz_ca,2026-02-15,shower filters,154651,B088KC1DXY,0.3000,0.2000,B01MUBU0YC,0.0667,0.0000,,,
amz_ca,2026-02-15,kitsch shower filter,178173,B01MUBU0YC,0.0385,0.0000,,,,,,
amz_ca,2026-02-15,showerhead filter for hard water,178173,B088KC1DXY,0.1923,0.3333,B0BZ3Y49Q9,0.1538,0.0000,B01MUBU0YC,0.1154,0.0000
amz_ca,2026-02-15,hard water shower head,178173,B0CL4SVJQ3,0.2692,0.0000,B0D1P1XXKD,0.1923,0.5000,B0BZ3Y49Q9,0.0769,0.5000
amz_ca,2026-02-15,handheld shower filter,185059,B0CL4SVJQ3,0.3200,0.0000,,,,,,
amz_ca,2026-02-08,shower filter,802,B088KC1DXY,0.2240,0.2301,B01MUBU0YC,0.1358,0.0619,,,
amz_ca,2026-02-08,shower head filter,3485,B0CL4SVJQ3,0.1862,0.0420,B088KC1DXY,0.1696,0.0756,B0BZ3Y49Q9,0.1327,0.0840
amz_ca,2026-02-08,shower filter for hair loss,7254,B088KC1DXY,0.2340,0.2500,B01MUBU0YC,0.1678,0.1125,,,
amz_ca,2026-02-08,hard water shower filter,15930,B088KC1DXY,0.2415,0.1515,B01MUBU0YC,0.1610,0.0303,B0CL4SVJQ3,0.1144,0.0606
amz_ca,2026-02-08,shower head filter for hard water,22772,B088KC1DXY,0.1561,0.1538,B0CL4SVJQ3,0.1503,0.0385,B01MUBU0YC,0.1098,0.0000
amz_ca,2026-02-08,shower water filter,23686,B088KC1DXY,0.1437,0.0800,B01MUBU0YC,0.0778,0.0400,,,
amz_ca,2026-02-08,shower filter hard water,28786,B01MUBU0YC,0.1786,0.0435,B088KC1DXY,0.1643,0.1304,,,
amz_ca,2026-02-08,aquabliss shower filter,29771,B01MUBU0YC,0.6029,0.4000,,,,,,
amz_ca,2026-02-08,showerhead filter,52690,B0CL4SVJQ3,0.2346,0.0000,B088KC1DXY,0.1852,0.0909,B01MUBU0YC,0.1358,0.0909
amz_ca,2026-02-08,shower filter head,73127,B088KC1DXY,0.1333,0.0000,B0CL4SVJQ3,0.1333,0.0000,B01MUBU0YC,0.1000,0.1111
amz_ca,2026-02-08,shower filter for hard water,83442,B088KC1DXY,0.1887,0.2000,B01MUBU0YC,0.1887,0.0000,,,
amz_ca,2026-02-08,jolie shower head filter,96576,B01MUBU0YC,0.0652,0.0000,,,,,,
amz_ca,2026-02-08,shower filters,117469,B088KC1DXY,0.1579,0.0000,B01MUBU0YC,0.1316,0.0000,B0D8RGF49F,0.0789,0.1429
amz_ca,2026-02-08,aqua bliss shower filter,135480,B01MUBU0YC,0.6061,0.4000,,,,,,
amz_ca,2026-02-08,water softener shower filter,159529,B088KC1DXY,0.2857,,B01MUBU0YC,0.1786,,,,
amz_ca,2026-02-08,shower filter philips,165326,B088KC1DXY,0.0370,0.0000,,,,,,
amz_ca,2026-02-01,shower filter,930,B088KC1DXY,0.2311,0.1647,B01MUBU0YC,0.0975,0.0559,,,
amz_ca,2026-02-01,shower head filter,3511,B0CL4SVJQ3,0.2201,0.0642,B088KC1DXY,0.1765,0.1376,B0BZ3Y49Q9,0.0859,0.0642
amz_ca,2026-02-01,shower filter for hair loss,7862,B088KC1DXY,0.2927,0.2105,B01MUBU0YC,0.1197,0.0658,B0CL4SVJQ3,0.0732,0.0395
amz_ca,2026-02-01,hard water shower filter,13921,B088KC1DXY,0.2473,0.1212,B0CL4SVJQ3,0.1661,0.0303,,,
amz_ca,2026-02-01,shower head filter for hard water,20533,B088KC1DXY,0.1881,0.1000,B0CL4SVJQ3,0.1337,0.0667,B0D1P1XXKD,0.0990,0.1333
amz_ca,2026-02-01,shower water filter,25374,B088KC1DXY,0.2143,0.3462,B01MUBU0YC,0.1548,0.0769,,,
amz_ca,2026-02-01,shower filter hard water,28146,B088KC1DXY,0.1895,0.0938,B01MUBU0YC,0.1046,0.0625,,,
amz_ca,2026-02-01,aquabliss shower filter,32376,B01MUBU0YC,0.5259,0.3571,,,,,,
amz_ca,2026-02-01,showerhead filter,49400,B088KC1DXY,0.2391,0.1667,B0CL4SVJQ3,0.1848,0.0556,B01MUBU0YC,0.0870,0.0556
amz_ca,2026-02-01,shower filter head,75946,B0CL4SVJQ3,0.2097,0.0000,B088KC1DXY,0.1129,0.1667,B01MUBU0YC,0.1129,0.0000
amz_ca,2026-02-01,shower filter for hard water,75946,B088KC1DXY,0.2097,0.1818,B01MUBU0YC,0.0968,0.0909,,,
amz_ca,2026-02-01,sr sunrise shower filter,95029,B088KC1DXY,0.5400,0.5455,B0CL4SVJQ3,0.0600,0.0909,,,
amz_ca,2026-02-01,aqua bliss shower filter,136945,B01MUBU0YC,0.3429,0.6000,,,,,,
amz_ca,2026-02-01,shower filters,159941,B088KC1DXY,0.3667,0.0000,B0D8RGF49F,0.0667,0.3333,,,
amz_ca,2026-02-01,hard water shower head,159941,B0D1P1XXKD,0.2000,0.0000,B0CL4SVJQ3,0.1667,0.0000,B0D14G64QF,0.1000,0.0000
amz_ca,2026-02-01,atojet shower filter,177511,B0F528CHYS,0.1111,0.0000,,,,,,
amz_ca,2026-01-25,shower filter,1078,B088KC1DXY,0.2790,0.1800,B0CL4SVJQ3,0.0845,0.0233,B01MUBU0YC,0.0685,0.0300
amz_ca,2026-01-25,shower head filter,3336,B0CL4SVJQ3,0.2483,0.1441,B088KC1DXY,0.1834,0.2034,B0BZ3Y49Q9,0.0968,0.0678
amz_ca,2026-01-25,shower filter for hair loss,6659,B088KC1DXY,0.2865,0.2698,B01MUBU0YC,0.0930,0.0317,,,
amz_ca,2026-01-25,hard water shower filter,6789,B088KC1DXY,0.2813,0.1356,B0CL4SVJQ3,0.1676,0.0339,B01MUBU0YC,0.0597,0.0508
amz_ca,2026-01-25,shower head filter for hard water,18916,B088KC1DXY,0.2081,0.3333,B0CL4SVJQ3,0.1946,0.0417,B0D1P1XXKD,0.0995,0.1250
amz_ca,2026-01-25,shower filter hard water,21463,B088KC1DXY,0.2828,0.2895,B0CL4SVJQ3,0.0808,0.0000,,,
amz_ca,2026-01-25,shower water filter,24208,B088KC1DXY,0.2079,0.1200,B0CL4SVJQ3,0.1011,0.0000,,,
amz_ca,2026-01-25,aquabliss shower filter,34941,B01MUBU0YC,0.3281,0.2174,,,,,,
amz_ca,2026-01-25,showerhead filter,43770,B0CL4SVJQ3,0.2212,0.0000,B088KC1DXY,0.1346,0.1667,B0D1P1XXKD,0.0673,0.0000
amz_ca,2026-01-25,shower filter head,61604,B0CL4SVJQ3,0.2895,0.0000,B088KC1DXY,0.1053,0.1250,B0D1P1XXKD,0.0921,0.0000
amz_ca,2026-01-25,shower filter for hard water,66452,B088KC1DXY,0.3239,0.2500,B0CL4SVJQ3,0.1408,0.0000,B01MUBU0YC,0.1127,0.1250
amz_ca,2026-01-25,sr sunrise shower filter,71862,B088KC1DXY,0.8030,0.7500,B0CL4SVJQ3,0.0455,0.0000,,,
amz_ca,2026-01-25,20 stage shower head filter,127632,B088KC1DXY,0.8421,0.6667,B0FNF22JT6,0.0263,0.0833,,,
amz_ca,2026-01-25,"aquabliss high output revitalizing shower filter - reduces dry itchy skin, dandruff, eczema, and dra",156435,B01MUBU0YC,0.4194,0.5000,,,,,,
amz_ca,2026-01-25,atojet shower filter,167388,B0F528CHYS,0.1034,0.0000,,,,,,
amz_ca,2026-01-25,hard water shower head,173211,B0CL4SVJQ3,0.2500,0.0000,B0D1P1XXKD,0.2500,0.0000,,,
amz_ca,2026-01-25,aqua bliss shower filter,173211,B01MUBU0YC,0.2143,0.2500,,,,,,
amz_ca,2026-01-25,shower head filter replacement,179347,B088KC1DXY,0.1111,0.0000,,,,,,
amz_ca,2026-01-25,ion drops shower head filters,193393,B0F1Y9D2X7,0.4400,0.6667,B0F1XJTHQD,0.0800,0.0000,,,
amz_ca,2026-01-25,weaqua shower filter,193393,B0D8RGF49F,0.2800,0.0000,,,,,,
amz_ca,2026-01-18,shower filter,987,B088KC1DXY,0.2591,0.2215,B01MUBU0YC,0.1397,0.0470,B0CL4SVJQ3,0.1137,0.0302
amz_ca,2026-01-18,shower head filter,2580,B0CL4SVJQ3,0.3305,0.0821,B088KC1DXY,0.1727,0.1567,B0BZ3Y49Q9,0.0706,0.0672
amz_ca,2026-01-18,shower filter for hair loss,8283,B088KC1DXY,0.2804,0.1806,B01MUBU0YC,0.1567,0.1389,,,
amz_ca,2026-01-18,hard water shower filter,11466,B088KC1DXY,0.2630,0.1373,B0CL4SVJQ3,0.2081,0.0980,B01MUBU0YC,0.1272,0.0784
amz_ca,2026-01-18,shower head filter for hard water,18018,B0CL4SVJQ3,0.2222,0.0909,B088KC1DXY,0.1880,0.1515,B01MUBU0YC,0.1453,0.0303
amz_ca,2026-01-18,shower water filter,23509,B088KC1DXY,0.2151,0.2500,B01MUBU0YC,0.1774,0.1250,B0CL4SVJQ3,0.0968,0.0000
amz_ca,2026-01-18,shower filter hard water,29501,B088KC1DXY,0.2895,0.1600,B01MUBU0YC,0.1382,0.1200,B0CL4SVJQ3,0.1118,0.0400
amz_ca,2026-01-18,aquabliss shower filter,37025,B01MUBU0YC,0.4274,0.2500,,,,,,
amz_ca,2026-01-18,showerhead filter,37711,B088KC1DXY,0.2459,0.3636,B0CL4SVJQ3,0.2377,0.0000,B01MUBU0YC,0.1393,0.0909
amz_ca,2026-01-18,shower filter head,65800,B0CL4SVJQ3,0.3288,0.2000,B0FNF22JT6,0.0959,0.1000,,,
amz_ca,2026-01-18,shower filter for hard water,89154,B01MUBU0YC,0.2000,0.0000,B0CL4SVJQ3,0.1818,0.1250,B088KC1DXY,0.1455,0.1250
amz_ca,2026-01-18,jolie shower head filter,109651,B0D1P1XXKD,0.0667,,,,,,,
amz_ca,2026-01-18,shower filter cartridge,114986,B088KC1DXY,0.1395,0.0000,,,,,,
amz_ca,2026-01-18,aqua bliss shower filter,133971,B01MUBU0YC,0.5135,0.4000,,,,,,
amz_ca,2026-01-18,hard water shower head,160064,B0D1P1XXKD,0.1935,0.1111,B0CL4SVJQ3,0.1613,0.0000,B0DSKXCKDM,0.1290,0.1111
amz_ca,2026-01-18,atojet shower filter,165438,B0F528CHYS,0.0667,0.0000,,,,,,
amz_ca,2026-01-18,shower head filter for hair loss,165438,B088KC1DXY,0.2000,0.0000,B01MUBU0YC,0.1333,0.0000,B0FNF22JT6,0.1000,0.0000
amz_ca,2026-01-18,shower head filter replacement,176922,B0D1P1XXKD,0.1786,0.0000,,,,,,
amz_ca,2026-01-18,carbon shower filter,176922,B0D8RGF49F,0.4286,0.4000,B088KC1DXY,0.1071,0.0000,B01MUBU0YC,0.0714,0.0000
amz_ca,2026-01-18,water softener shower filter,190051,B0CL4SVJQ3,0.2692,0.0000,B01MUBU0YC,0.1154,0.0000,,,
amz_ca,2026-01-18,hard water softener shower filter,197399,B0CL4SVJQ3,0.3200,0.0000,B088KC1DXY,0.2000,0.0000,,,
amz_ca,2026-01-18,philips shower filter,197399,B01MUBU0YC,0.1200,0.0000,,,,,,
amz_ca,2026-01-18,kitsch shower filter,197399,B01MUBU0YC,0.1200,0.0000,B0CN2L49P5,0.0400,0.0000,,,
amz_ca,2026-01-18,water shower filter,197399,B088KC1DXY,0.4800,0.3333,B0CL4SVJQ3,0.1600,0.0000,B0D1P1XXKD,0.0800,0.0000
amz_ca,2026-01-11,shower filter,1097,B088KC1DXY,0.2642,0.1831,B01MUBU0YC,0.1443,0.0780,B0CL4SVJQ3,0.1294,0.0441
amz_ca,2026-01-11,shower head filter,4248,B0CL4SVJQ3,0.3098,0.1667,B088KC1DXY,0.1710,0.1078,B0BZ3Y49Q9,0.0630,0.0294
amz_ca,2026-01-11,shower filter for hair loss,8067,B088KC1DXY,0.3207,0.1744,B01MUBU0YC,0.1456,0.0930,,,
amz_ca,2026-01-11,hard water shower filter,15047,B088KC1DXY,0.2179,0.1176,B0CL4SVJQ3,0.1821,0.1765,B01MUBU0YC,0.1643,0.0588
amz_ca,2026-01-11,shower head filter for hard water,22482,B0CL4SVJQ3,0.2576,0.1765,B088KC1DXY,0.2020,0.1176,B01MUBU0YC,0.1364,0.0588
amz_ca,2026-01-11,shower water filter,24554,B088KC1DXY,0.2514,0.1111,B01MUBU0YC,0.1858,0.1111,,,
amz_ca,2026-01-11,shower filter hard water,33237,B088KC1DXY,0.2143,0.1250,B01MUBU0YC,0.1429,0.0000,B0BZ3Y49Q9,0.0857,0.0000
amz_ca,2026-01-11,aquabliss shower filter,37058,B01MUBU0YC,0.6220,0.5000,,,,,,
amz_ca,2026-01-11,showerhead filter,57315,B0CL4SVJQ3,0.2941,0.2222,B088KC1DXY,0.2000,0.4444,B01MUBU0YC,0.1294,0.0000
amz_ca,2026-01-11,shower filter head,79051,B0CL4SVJQ3,0.2540,0.1250,B0BZ3Y49Q9,0.1111,0.0000,,,
amz_ca,2026-01-11,jolie shower head filter,102943,B01MUBU0YC,0.0612,0.0000,,,,,,
amz_ca,2026-01-11,shower filter for hard water,117738,B01MUBU0YC,0.1860,0.2857,B088KC1DXY,0.1628,0.1429,,,
amz_ca,2026-01-11,hard water shower head,169630,B0CL4SVJQ3,0.3667,0.0000,B0BZ3Y49Q9,0.1000,0.0000,B0FLY84ZD7,0.0667,0.0000
amz_ca,2026-01-11,aqua bliss shower filter,175359,B01MUBU0YC,0.5862,0.0000,,,,,,
